customer_id,customer_name,email,signup_date,country,age
58,Customer14,customer1457@outlook.com,2023-06-14,USA,39
59,Custome14,custome1458@company.com,2022-08-19,USA,54
60,customer14,customer1459@gmail.com,2023-08-26,UK,47
61,Customer41,customer4160@email.com,2022-08-14,UK,18
62,Customer_61,customer_6161@gmail.com,2023-10-09,USA,45
63,Customer_62,customer_6262@gmail.com,2022-02-02,India,63
64,Customer_63,customer_6363@outlook.com,2022-09-01,UK,42
65,Customer_64,customer_6464@outlook.com,2022-08-08,USA,18
66,Customer_65,customer_6565@email.com,2023-08-08,Canada,62
67,Customer_66,customer_6666@email.com,2023-04-30,USA,27
68,Customer_67,customer_6767@company.com,2022-04-10,India,30
69,Customer_68,customer_6868@company.com,2023-02-25,USA,24
70,Customer_69,customer_6969@company.com,2022-02-25,Mexico,34
71,Customer_70,customer_7070@gmail.com,2024-01-16,India,60
72,Customer_71,customer_7171@outlook.com,2022-04-22,USA,46
73,Customer_72,customer_7272@yahoo.com,2023-07-04,USA,27
74,Customer_73,customer_7373@company.com,2022-07-07,India,67
75,Customer_74,customer_7474@outlook.com,2022-03-19,Australia,67
76,Customer_75,customer_7575@company.com,2023-07-18,Australia,67
77,Customer_76,customer_7676@gmail.com,2023-07-08,India,29
78,Customer_77,customer_7777@gmail.com,2024-02-11,USA,42
79,Customer_78,customer_7878@yahoo.com,2023-05-13,UK,74
80,Customer_79,customer_7979@company.com,2023-02-15,USA,61
81,Customer_80,customer_8080@gmail.com,2022-01-03,Japan,
82,Customer_81,customer_8181@company.com,2023-04-11,Germany,18
83,Customer_82,customer_8282@outlook.com,2024-01-19,UK,42
84,Customer_83,customer_8383@email.com,2023-05-14,USA,69
85,Customer_84,customer_8484@yahoo.com,2022-08-11,UK,47
86,Customer_85,customer_8585@gmail.com,2023-07-10,UK,44
87,Customer_86,customer_8686@gmail.com,2022-02-28,Australia,21
88,Customer_87,customer_8787@gmail.com,2023-05-30,France,54
89,Customer_88,customer_8888@email.com,2023-06-05,Japan,64
90,Customer_89,customer_8989@gmail.com,2022-03-12,Canada,37
91,Customer_90,customer_9090@email.com,2022-08-29,USA,61
92,Customer_91,customer_9191@company.com,2023-08-07,Australia,72
93,Customer_92,customer_9292@yahoo.com,2022-02-10,India,27
94,Customer_93,customer_9393@email.com,2023-11-05,Germany,46
95,Customer_94,customer_9494@email.com,2022-11-20,India,32
96,Customer_95,customer_9595@outlook.com,2024-01-04,Canada,62
97,Customer_96,customer_9696@outlook.com,2023-02-10,Canada,49
98,Customer_97,customer_9797@yahoo.com,2022-11-04,UK,53
99,Customer_98,customer_9898@company.com,2024-02-09,USA,62
100,Customer_99,,2023-09-29,USA,38
101,Customer_100,customer_100100@email.com,2022-03-17,USA,69
102,Customer_101,customer_101101@email.com,2022-09-29,France,46
103,Customer_102,customer_102102@yahoo.com,2022-03-12,UK,24
104,Customer_103,customer_103103@yahoo.com,2022-06-11,Canada,56
105,Customer_104,customer_104104@company.com,2023-12-22,Brazil,62
106,Customer_105,customer_105105@outlook.com,2023-11-01,USA,34
107,Customer_106,,2023-07-22,UK,66
108,Customer_107,customer_107107@outlook.com,2022-04-17,India,69
109,Customer_108,customer_108108@yahoo.com,2022-04-20,USA,31
110,Customer_109,customer_109109@email.com,2022-10-16,USA,74
111,Customer_110,customer_110110@email.com,2022-12-18,USA,23
112,Customer_111,customer_111111@yahoo.com,2022-09-28,USA,27
113,Customer_112,customer_112112@email.com,2022-02-22,Brazil,26
114,Customer_113,customer_113113@gmail.com,2022-10-11,India,68
115,Customer_114,,2024-02-29,France,54
116,Customer_115,customer_115115@yahoo.com,2022-09-26,Japan,24
117,Customer_116,customer_116116@yahoo.com,2023-07-19,India,41
118,Customer_117,customer_117117@company.com,2022-04-25,USA,51
119,Customer_118,customer_118118@gmail.com,2023-12-09,Japan,20
120,Customer_119,customer_119119@yahoo.com,2023-01-14,Canada,67
121,Customer_120,customer_120120@email.com,2023-03-17,India,63
122,Customer_121,customer_121121@yahoo.com,2023-01-09,Japan,45
123,Customer_122,customer_122122@gmail.com,2022-08-04,UK,73
124,Customer_123,customer_123123@yahoo.com,2022-12-29,USA,40
125,Customer_124,customer_124124@email.com,2023-02-21,USA,74
126,Customer_125,customer_125125@email.com,2022-08-31,UK,55
127,Customer_126,customer_126126@yahoo.com,2022-07-01,India,53
128,Customer_127,,2024-01-25,Japan,24
129,Customer_128,customer_128128@outlook.com,2023-02-26,USA,67
130,Customer_129,customer_129129@yahoo.com,2023-12-20,Canada,40
131,Customer_130,customer_130130@gmail.com,2022-02-09,UK,24
132,Customer_131,customer_131131@company.com,2023-04-17,USA,
133,Customer_132,customer_132132@outlook.com,2022-08-22,USA,48
134,Customer_133,,2022-07-17,UK,46
135,Customer_134,customer_134134@company.com,2022-03-13,Brazil,58
136,Customer_135,customer_135135@outlook.com,2023-06-06,UK,68
137,Customer_136,customer_136136@company.com,2023-07-04,Canada,19
138,Customer_137,customer_137137@outlook.com,2022-04-29,Australia,58
139,Customer_138,customer_138138@outlook.com,2022-09-29,UK,26
140,Customer_139,customer_139139@gmail.com,2023-03-21,Mexico,66
141,Customer_140,customer_140140@outlook.com,2022-11-18,Mexico,64
142,Customer_141,customer_141141@company.com,2023-06-08,USA,47
143,Customer_142,customer_142142@gmail.com,2023-08-14,Canada,57
144,Customer_143,customer_143143@yahoo.com,2023-12-27,UK,33
145,Customer_144,,2023-07-06,USA,43
146,Customer_145,customer_145145@yahoo.com,2022-03-13,USA,64
147,Customer_146,customer_146146@outlook.com,2023-11-11,Germany,42
148,Customer_147,customer_147147@gmail.com,2022-11-04,Canada,36
149,Customer_148,customer_148148@email.com,2023-02-23,USA,44
150,Customer_149,customer_149149@outlook.com,2022-10-30,USA,64
151,Customer_150,customer_150150@email.com,2023-03-07,Brazil,35
152,Customer_151,customer_151151@company.com,2022-06-28,USA,25
153,Customer_152,customer_152152@email.com,2023-02-20,USA,57
154,Customer_153,customer_153153@email.com,2022-11-08,Canada,64
155,Customer_154,customer_154154@outlook.com,2023-08-17,Mexico,21
156,Customer_155,customer_155155@email.com,2023-04-22,USA,29
157,Customer_156,customer_156156@company.com,2022-08-07,France,23
158,Customer_157,customer_157157@email.com,2024-01-24,India,35
159,Customer_158,customer_158158@yahoo.com,2022-10-18,USA,42
160,Customer_159,customer_159159@email.com,2023-09-27,Australia,59
161,Customer_160,customer_160160@outlook.com,2024-02-09,UK,54
162,Customer_161,customer_161161@yahoo.com,2022-08-19,France,52
163,Customer_162,customer_162162@yahoo.com,2022-02-17,France,36
164,Customer_163,customer_163163@yahoo.com,2023-09-18,Canada,65
165,Customer_164,customer_164164@gmail.com,2023-10-07,USA,43
166,Customer_165,customer_165165@email.com,2023-12-15,India,73
167,Customer_166,customer_166166@company.com,2022-09-07,UK,53
168,Customer_167,customer_167167@yahoo.com,2022-01-06,USA,22
169,Customer_168,customer_168168@gmail.com,2022-08-13,USA,55
170,Customer_169,customer_169169@yahoo.com,2023-12-14,Germany,34
171,Customer_170,customer_170170@email.com,2023-07-25,France,56
172,Customer_171,customer_171171@yahoo.com,2022-05-05,USA,19
173,Customer_172,customer_172172@company.com,2023-04-21,Canada,25
174,Customer_173,customer_173173@email.com,2023-09-02,USA,66
175,Customer_174,customer_174174@outlook.com,2023-03-30,France,28
176,Customer_175,customer_175175@email.com,2023-06-01,USA,65
177,Customer_176,customer_176176@company.com,2023-07-16,France,31
178,Customer_177,customer_177177@company.com,2024-02-01,UK,53
179,Customer_178,customer_178178@company.com,2024-02-09,Brazil,56
180,Customer_179,customer_179179@yahoo.com,2022-10-11,USA,45
181,Customer_180,customer_180180@email.com,2022-09-02,UK,33
182,Customer_181,customer_181181@outlook.com,2024-01-01,USA,27
183,Customer_182,customer_182182@outlook.com,2022-12-10,Brazil,
184,Customer_183,customer_183183@outlook.com,2022-03-24,Japan,33
185,Customer_184,customer_184184@yahoo.com,2023-01-28,USA,54
186,Customer_185,customer_185185@yahoo.com,2022-03-07,France,71
187,Customer_186,customer_186186@company.com,2023-07-10,India,67
188,Customer_187,customer_187187@company.com,2022-07-31,Germany,60
189,Customer_188,customer_188188@company.com,2024-02-28,Canada,62
190,Customer_189,customer_189189@email.com,2022-01-21,USA,54
191,Customer_190,customer_190190@email.com,2022-01-07,USA,30
192,Customer_191,customer_191191@outlook.com,2023-02-04,Japan,69
193,Customer_192,customer_192192@company.com,2024-01-23,Brazil,55
194,Customer_193,customer_193193@email.com,2022-08-14,France,48
195,Customer_194,customer_194194@company.com,2023-03-23,UK,21
196,Customer_195,,2022-12-11,UK,41
197,Customer_196,customer_196196@company.com,2023-04-24,Australia,42
198,Customer_197,customer_197197@yahoo.com,2023-07-01,Japan,66
199,Customer_198,customer_198198@gmail.com,2023-08-30,Japan,47
200,Customer_199,customer_199199@email.com,2022-03-27,India,37
201,Customer_200,customer_200200@company.com,2023-04-18,France,73
202,Customer_201,customer_201201@yahoo.com,2023-01-24,USA,21
203,Customer_202,customer_202202@outlook.com,2022-12-01,USA,40
204,Customer_203,customer_203203@outlook.com,2023-01-24,Japan,
205,Customer_204,customer_204204@outlook.com,2023-03-08,Germany,59
206,Customer_205,customer_205205@outlook.com,2023-04-27,USA,70
207,Customer_206,customer_206206@gmail.com,2022-02-23,USA,31
208,Customer_207,customer_207207@outlook.com,2022-03-12,France,66
209,Customer_208,customer_208208@gmail.com,2022-09-11,USA,32
210,Customer_209,customer_209209@yahoo.com,2023-09-29,USA,69
211,Customer_210,customer_210210@yahoo.com,2023-04-30,Canada,60
212,Customer_211,customer_211211@gmail.com,2022-08-12,France,63
213,Customer_212,customer_212212@company.com,2024-02-25,France,
214,Customer_213,customer_213213@outlook.com,2023-09-14,USA,72
215,Customer_214,customer_214214@gmail.com,2022-06-17,Australia,58
216,Customer_215,customer_215215@outlook.com,2022-01-27,USA,33
217,Customer_216,customer_216216@outlook.com,2023-01-20,UK,64
218,Customer_217,customer_217217@company.com,2022-07-23,Australia,31
219,Customer_218,customer_218218@gmail.com,2023-10-05,France,67
220,Customer_219,customer_219219@yahoo.com,2024-03-02,India,21
221,Customer_220,customer_220220@outlook.com,2023-09-07,France,57
222,Customer_221,customer_221221@gmail.com,2023-08-03,Germany,47
223,Customer_222,customer_222222@gmail.com,2023-03-15,USA,20
224,Customer_223,customer_223223@outlook.com,2023-10-26,UK,29
225,Customer_224,,2023-03-07,USA,
226,Customer_225,customer_225225@company.com,2023-01-06,USA,43
227,Customer_226,customer_226226@company.com,2023-03-22,Mexico,33
228,Customer_227,customer_227227@yahoo.com,2023-10-29,UK,50
229,Customer_228,customer_228228@outlook.com,2023-07-06,Japan,32
230,Customer_229,customer_229229@company.com,2024-01-19,France,32
231,Customer_230,customer_230230@email.com,2022-09-09,India,59
232,Customer_231,customer_231231@gmail.com,2023-04-07,Canada,
233,Customer_232,customer_232232@yahoo.com,2023-08-07,Germany,69
234,Customer_233,customer_233233@email.com,2022-12-11,Canada,66
235,Customer_234,customer_234234@gmail.com,2022-11-29,USA,55
236,Customer_235,customer_235235@yahoo.com,2022-12-30,Australia,50
237,Customer_236,customer_236236@outlook.com,2023-09-03,USA,68
238,Customer_237,customer_237237@outlook.com,2023-06-14,USA,26
239,Customer_238,customer_238238@yahoo.com,2024-01-08,France,19
240,Customer_239,customer_239239@company.com,2024-02-16,USA,29
241,Customer_240,customer_240240@yahoo.com,2023-10-24,Brazil,62
242,Customer_241,customer_241241@company.com,2022-01-18,Mexico,
243,Customer_242,customer_242242@gmail.com,2023-02-19,Brazil,49
244,Customer_243,customer_243243@yahoo.com,2023-08-19,UK,74
245,Customer_244,customer_244244@outlook.com,2023-06-28,USA,66
246,Customer_245,customer_245245@outlook.com,2024-02-03,Brazil,46
247,Customer_246,customer_246246@email.com,2023-12-21,UK,18
248,Customer_247,customer_247247@company.com,2022-09-15,Mexico,64
249,Customer_248,customer_248248@yahoo.com,2022-07-17,Mexico,50
250,Customer_249,customer_249249@outlook.com,2023-07-03,Japan,21
251,Customer_250,customer_250250@yahoo.com,2024-01-27,USA,20
252,Customer_251,customer_251251@company.com,2023-08-27,UK,69
253,Customer_252,customer_252252@email.com,2022-04-13,Japan,55
254,Customer_253,customer_253253@yahoo.com,2023-01-05,UK,64
255,Customer_254,customer_254254@yahoo.com,2023-12-27,USA,67
256,Customer_255,customer_255255@email.com,2022-02-16,Germany,49
257,Customer_256,customer_256256@gmail.com,2023-12-16,Brazil,46
258,Customer_257,customer_257257@yahoo.com,2024-02-10,France,40
259,Customer_258,customer_258258@company.com,2022-01-13,Germany,34
260,Customer_259,customer_259259@email.com,2023-05-06,USA,41
261,Customer_260,customer_260260@company.com,2022-02-22,Germany,61
262,Customer_261,customer_261261@outlook.com,2023-05-05,Mexico,51
263,Customer_262,customer_262262@gmail.com,2023-02-15,USA,68
264,Customer_263,customer_263263@company.com,2023-10-07,Canada,41
265,Customer_264,customer_264264@gmail.com,2023-07-31,Japan,51
266,Customer_265,customer_265265@outlook.com,2022-09-12,Australia,52
267,Customer_266,customer_266266@gmail.com,2023-03-03,France,50
268,Customer_267,customer_267267@email.com,2023-09-26,Australia,57
269,Customer_268,customer_268268@yahoo.com,2023-01-25,UK,29
270,Customer_269,customer_269269@company.com,2022-11-01,USA,45
271,Customer_270,customer_270270@email.com,2022-11-09,India,21
272,Customer_271,customer_271271@email.com,2023-09-17,India,38
273,Customer_272,customer_272272@gmail.com,2022-08-01,Japan,44
274,Customer_273,customer_273273@yahoo.com,2022-03-25,Brazil,54
275,Customer_274,customer_274274@yahoo.com,2023-07-20,Canada,72
276,Customer_275,customer_275275@gmail.com,2023-02-23,Canada,51
277,Customer_276,customer_276276@company.com,2023-04-27,India,59
278,Customer_277,customer_277277@outlook.com,2022-10-23,France,45
279,Customer_278,customer_278278@outlook.com,2023-04-10,Australia,53
280,Customer_279,customer_279279@gmail.com,2022-09-28,India,19
281,Customer_280,customer_280280@email.com,2022-07-22,Japan,30
282,Customer_281,customer_281281@company.com,2022-08-19,UK,36
283,Customer_282,customer_282282@yahoo.com,2022-05-26,UK,43
284,Customer_283,customer_283283@gmail.com,2022-11-11,USA,
285,Customer_284,customer_284284@email.com,2023-08-06,Germany,23
286,Customer_285,customer_285285@outlook.com,2023-04-25,USA,31
287,Customer_286,customer_286286@outlook.com,2022-10-06,Canada,73
288,Customer_287,customer_287287@email.com,2023-03-25,Canada,34
289,Customer_288,customer_288288@gmail.com,2023-03-19,USA,43
290,Customer_289,customer_289289@outlook.com,2022-01-27,Germany,26
291,Customer_290,customer_290290@gmail.com,2023-11-22,USA,51
292,Customer_291,customer_291291@email.com,2022-01-22,USA,31
293,Customer_292,customer_292292@outlook.com,2024-02-21,India,27
294,Customer_293,customer_293293@yahoo.com,2023-10-30,UK,45
295,Customer_294,customer_294294@company.com,2022-07-05,USA,
296,Customer_295,customer_295295@email.com,2023-05-19,Canada,
297,Customer_296,customer_296296@gmail.com,2023-02-23,India,28
298,Customer_297,customer_297297@outlook.com,2022-04-18,USA,
299,Customer_298,customer_298298@yahoo.com,2023-12-12,Germany,21
300,Customer_299,customer_299299@company.com,2023-02-15,USA,35
301,Customer_300,customer_300300@email.com,2022-04-01,USA,63
302,Customer_301,customer_301301@outlook.com,2022-04-29,Canada,49
303,Customer_302,customer_302302@company.com,2022-01-02,Canada,45
304,Customer_303,customer_303303@email.com,2022-02-25,France,32
305,Customer_304,customer_304304@yahoo.com,2023-09-30,Australia,70
306,Customer_305,customer_305305@company.com,2024-02-18,Mexico,38
307,Customer_306,customer_306306@gmail.com,2023-07-17,Canada,20
308,Customer_307,customer_307307@yahoo.com,2023-03-25,UK,52
309,Customer_308,customer_308308@company.com,2023-10-08,India,21
310,Customer_309,customer_309309@email.com,2023-12-28,USA,35
311,Customer_310,customer_310310@yahoo.com,2022-01-15,UK,45
312,Customer_311,customer_311311@email.com,2022-08-19,USA,67
313,Customer_312,customer_312312@gmail.com,2022-05-01,USA,44
314,Customer_313,customer_313313@yahoo.com,2024-01-04,Mexico,57
315,Customer_314,customer_314314@outlook.com,2022-10-07,India,74
316,Customer_315,customer_315315@company.com,2023-04-29,France,22
317,Customer_316,customer_316316@yahoo.com,2022-05-29,UK,31
318,Customer_317,customer_317317@company.com,2023-09-06,USA,38
319,Customer_318,customer_318318@email.com,2022-05-20,USA,40
320,Customer_319,customer_319319@gmail.com,2023-03-01,USA,39
321,Customer_320,customer_320320@outlook.com,2023-06-04,Canada,69
322,Customer_321,customer_321321@outlook.com,2022-10-17,Australia,57
323,Customer_322,customer_322322@outlook.com,2023-08-17,France,51
324,Customer_323,customer_323323@company.com,2023-04-03,USA,33
325,Customer_324,customer_324324@email.com,2022-12-07,Mexico,64
326,Customer_325,customer_325325@email.com,2023-01-22,Australia,72
327,Customer_326,customer_326326@company.com,2022-07-13,Germany,64
328,Customer_327,customer_327327@yahoo.com,2022-08-28,Germany,
329,Customer_328,customer_328328@company.com,2024-02-02,UK,53
330,Customer_329,customer_329329@company.com,2023-01-26,USA,18
331,Customer_330,customer_330330@company.com,2023-10-30,UK,30
332,Customer_331,customer_331331@yahoo.com,2022-02-07,India,18
333,Customer_332,customer_332332@yahoo.com,2023-08-28,USA,51
334,Customer_333,customer_333333@outlook.com,2023-03-27,USA,56
335,Customer_334,customer_334334@gmail.com,2023-04-13,USA,21
336,Customer_335,customer_335335@gmail.com,2023-02-24,USA,38
337,Customer_336,customer_336336@yahoo.com,2024-03-11,Japan,42
338,Customer_337,customer_337337@outlook.com,2023-12-11,Australia,37
339,Customer_338,customer_338338@company.com,2022-12-03,Canada,22
340,Customer_339,customer_339339@email.com,2022-11-21,USA,40
341,Customer_340,customer_340340@company.com,2022-02-06,Canada,60
342,Customer_341,customer_341341@email.com,2023-10-09,Canada,19
343,Customer_342,customer_342342@outlook.com,2024-02-04,USA,19
344,Customer_343,customer_343343@gmail.com,2022-04-11,UK,36
345,Customer_344,customer_344344@gmail.com,2023-12-12,UK,71
346,Customer_345,customer_345345@outlook.com,2022-02-17,Germany,55
347,Customer_346,customer_346346@outlook.com,2022-10-28,France,55
348,Customer_347,customer_347347@outlook.com,2022-05-30,USA,36
349,Customer_348,customer_348348@yahoo.com,2023-08-03,UK,50
350,Customer_349,customer_349349@yahoo.com,2022-03-22,Germany,
351,Customer_350,customer_350350@email.com,2023-09-27,Canada,53
352,Customer_351,customer_351351@yahoo.com,2023-08-21,Japan,69
353,Customer_352,customer_352352@yahoo.com,2023-10-16,France,51
354,Customer_353,customer_353353@outlook.com,2023-11-14,USA,67
355,Customer_354,customer_354354@gmail.com,2023-04-22,USA,58
356,Customer_355,customer_355355@outlook.com,2022-06-11,France,22
357,Customer_356,customer_356356@gmail.com,2022-12-20,USA,69
358,Customer_357,customer_357357@email.com,2023-03-11,Germany,18
359,Customer_358,customer_358358@outlook.com,2022-11-06,Brazil,47
360,Customer_359,customer_359359@yahoo.com,2023-05-10,Germany,23
361,Customer_360,customer_360360@gmail.com,2023-08-09,UK,
362,Customer_361,customer_361361@outlook.com,2023-12-18,France,40
363,Customer_362,,2023-11-06,Canada,32
364,Customer_363,customer_363363@company.com,2023-08-03,Canada,44
365,Customer_364,customer_364364@gmail.com,2024-02-03,Brazil,49
366,Customer_365,customer_365365@company.com,2022-10-21,UK,
367,Customer_366,customer_366366@yahoo.com,2022-12-27,Mexico,22
368,Customer_367,customer_367367@yahoo.com,2023-09-28,Brazil,48
369,Customer_368,customer_368368@outlook.com,2024-01-09,USA,35
370,Customer_369,customer_369369@yahoo.com,2023-10-05,USA,58
371,Customer_370,customer_370370@gmail.com,2023-03-28,USA,54
372,Customer_371,customer_371371@gmail.com,2024-01-20,USA,65
373,Customer_372,customer_372372@yahoo.com,2022-10-30,USA,56
374,Customer_373,customer_373373@outlook.com,2022-06-29,France,40
375,Customer_374,customer_374374@yahoo.com,2023-07-07,USA,55
376,Customer_375,customer_375375@outlook.com,2022-10-07,UK,31
377,Customer_376,customer_376376@yahoo.com,2023-05-09,India,33
378,Customer_377,customer_377377@outlook.com,2022-12-13,USA,62
379,Customer_378,customer_378378@gmail.com,2022-03-19,India,41
380,Customer_379,customer_379379@yahoo.com,2022-08-20,USA,62
381,Customer_380,customer_380380@company.com,2023-07-25,USA,64
382,Customer_381,customer_381381@outlook.com,2023-02-09,France,66
383,Customer_382,customer_382382@gmail.com,2022-05-07,Germany,69
384,Customer_383,customer_383383@company.com,2024-02-06,Japan,40
385,Customer_384,customer_384384@outlook.com,2023-10-16,Australia,34
386,Customer_385,customer_385385@outlook.com,2022-08-28,India,49
387,Customer_386,,2023-07-29,USA,37
388,Customer_387,customer_387387@outlook.com,2022-08-15,USA,51
389,Customer_388,customer_388388@gmail.com,2023-04-21,India,57
390,Customer_389,customer_389389@outlook.com,2022-04-30,India,56
391,Customer_390,customer_390390@yahoo.com,2022-02-08,Mexico,37
392,Customer_391,customer_391391@outlook.com,2022-04-29,UK,25
393,Customer_392,customer_392392@gmail.com,2023-07-05,UK,40
394,Customer_393,customer_393393@yahoo.com,2023-01-15,India,23
395,Customer_394,customer_394394@email.com,2024-01-31,UK,68
396,Customer_395,customer_395395@yahoo.com,2023-11-02,Brazil,35
397,Customer_396,customer_396396@gmail.com,2023-09-23,Japan,24
398,Customer_397,customer_397397@company.com,2022-10-14,UK,
399,Customer_398,customer_398398@gmail.com,2022-08-11,India,53
400,Customer_399,customer_399399@company.com,2022-08-30,India,53
401,Customer_400,customer_400400@outlook.com,2023-12-04,USA,35
402,Customer_401,customer_401401@outlook.com,2023-10-23,Brazil,19
403,Customer_402,customer_402402@outlook.com,2022-10-10,Canada,39
404,Customer_403,customer_403403@yahoo.com,2023-04-11,India,33
405,Customer_404,customer_404404@gmail.com,2023-10-20,UK,55
406,Customer_405,customer_405405@email.com,2022-02-21,Japan,51
407,Customer_406,customer_406406@outlook.com,2022-05-09,UK,36
408,Customer_407,customer_407407@email.com,2024-02-23,USA,28
409,Customer_408,customer_408408@email.com,2022-08-10,Brazil,74
410,Customer_409,customer_409409@yahoo.com,2022-06-01,USA,42
411,Customer_410,,2022-05-29,UK,56
412,Customer_411,customer_411411@yahoo.com,2022-06-28,Mexico,23
413,Customer_412,customer_412412@gmail.com,2022-01-27,Mexico,44
414,Customer_413,,2022-09-01,Germany,
415,Customer_414,customer_414414@email.com,2022-06-28,France,45
416,Customer_415,customer_415415@outlook.com,2024-01-30,UK,72
417,Customer_416,customer_416416@company.com,2024-02-03,USA,38
418,Customer_417,customer_417417@gmail.com,2024-03-07,UK,
419,Customer_418,customer_418418@outlook.com,2022-04-22,France,
420,Customer_419,customer_419419@company.com,2023-09-22,India,38
421,Customer_420,customer_420420@gmail.com,2023-11-06,India,24
422,Customer_421,customer_421421@email.com,2023-10-21,India,
423,Customer_422,customer_422422@gmail.com,2023-05-06,USA,60
424,Customer_423,customer_423423@company.com,2022-04-21,Canada,42
425,Customer_424,customer_424424@company.com,2023-03-31,USA,32
426,Customer_425,customer_425425@gmail.com,2022-11-26,Canada,69
427,Customer_426,customer_426426@email.com,2022-05-10,UK,21
428,Customer_427,customer_427427@outlook.com,2023-08-23,Japan,72
429,Customer_428,customer_428428@email.com,2023-01-26,UK,33
430,Customer_429,customer_429429@email.com,2023-04-10,USA,68
431,Customer_430,customer_430430@email.com,2022-04-12,USA,51
432,Customer_431,customer_431431@gmail.com,2023-10-29,India,64
433,Customer_432,customer_432432@email.com,2022-08-09,Germany,74
434,Customer_433,customer_433433@company.com,2022-08-22,USA,32
435,Customer_434,customer_434434@company.com,2023-04-10,USA,72
436,Customer_435,customer_435435@company.com,2022-04-08,Australia,38
437,Customer_436,customer_436436@outlook.com,2023-11-13,USA,38
438,Customer_437,customer_437437@outlook.com,2022-06-06,India,35
439,Customer_438,customer_438438@company.com,2022-03-29,Australia,47
440,Customer_439,customer_439439@gmail.com,2024-02-02,USA,24
441,Customer_440,customer_440440@outlook.com,2023-07-24,USA,48
442,Customer_441,customer_441441@gmail.com,2023-07-30,Mexico,47
443,Customer_442,customer_442442@email.com,2022-05-06,UK,60
444,Customer_443,customer_443443@company.com,2023-11-13,UK,65
445,Customer_444,customer_444444@company.com,2024-01-09,India,41
446,Customer_445,customer_445445@gmail.com,2023-09-07,Brazil,33
447,Customer_446,customer_446446@outlook.com,2023-08-15,Mexico,30
448,Customer_447,customer_447447@email.com,2023-11-04,India,26
449,Customer_448,customer_448448@company.com,2022-04-21,UK,18
450,Customer_449,customer_449449@outlook.com,2023-01-12,USA,35
